"time","x","y","z","abs"
4.613526769E0,-1.810016513E0,-3.160346150E-1,1.628057212E-1,1.844598427E0
4.633665259E0,-1.283292055E0,1.149216771E0,-1.053448766E-1,1.725872310E0
4.653533123E0,-1.484405041E0,1.522712231E0,-5.075707436E-1,2.186261403E0
4.673577498E0,-1.417367458E0,1.896207690E0,-5.171475410E-1,2.423215982E0
4.693521561E0,-1.359906554E0,1.264138460E0,-1.915361360E-2,1.856814138E0
4.713528644E0,1.053448766E-1,5.267243981E-1,2.020706177E0,2.090882490E0
4.733521978E0,-4.213795066E-1,1.465251446E0,7.182605267E-1,1.685354761E0
4.753540363E0,1.149216816E-1,1.695094824E0,2.106897533E-1,1.711999891E0
4.773503280E0,1.493981838E0,-1.340752989E-1,8.236053586E-1,1.711222868E0
4.793529530E0,2.173935175E0,-2.940079689E0,1.082179189E0,3.813289200E0
4.813533071E0,1.771709204E0,-3.342305660E0,1.647210717E0,4.125925808E0
4.833593384E0,1.963245392E0,-1.924938202E0,4.309563041E-1,2.783063579E0
4.853529842E0,9.385270476E-1,-1.589749932E0,-6.703764796E-1,1.964062751E0
4.873536665E0,2.087743998E0,-1.781286120E0,-7.661445439E-2,2.745455339E0
4.893535832E0,2.260126352E0,-2.633621931E0,1.896207690E0,3.954711015E0
4.913538644E0,1.216254473E0,2.298433632E-1,2.758120298E0,3.023132563E0
4.933523175E0,4.692635238E-1,2.279279947E0,-7.565677166E-1,2.446981823E0
4.953524477E0,4.692635238E-1,1.484405041E0,8.619126081E-1,1.779483050E0
4.973531977E0,-5.267243981E-1,1.225831270E0,3.543418646E-1,1.380456103E0
4.993520050E0,-6.224924326E-1,1.149216816E-1,1.264138460E0,1.413771505E0
5.013531352E0,-2.566584110E0,-1.570596337E0,1.206677675E0,3.241943532E0
5.033526300E0,-2.595314741E0,-6.703764796E-1,-1.436520964E-1,2.684343338E0
5.053545050E0,-1.082179189E0,5.937620401E-1,-9.959878922E-1,1.586082292E0
5.073538227E0,-3.447650373E-1,1.522712231E0,6.895300746E-1,1.706741689E0
5.093523957E0,-3.447650373E-1,1.522712231E0,6.895300746E-1,1.706741689E0
5.113532082E0,-6.033388376E-1,-1.244984865E-1,-4.788403511E-1,7.802600259E-1
5.133528800E0,-2.394201756E-1,-6.033388376E-1,4.788403511E-1,8.066150602E-1
5.153624217E0,1.082179189E0,6.224924326E-1,1.206677675E0,1.736283283E0
5.173523644E0,9.097966552E-1,5.746083856E-1,1.168370485E0,1.588393636E0
5.193535415E0,4.022258818E-1,8.619125932E-2,1.024718285E0,1.104202045E0
5.213532238E0,4.118026793E-1,2.873041928E-1,7.948749661E-1,9.401868738E-1
5.233528904E0,8.236053586E-1,-2.202665508E-1,1.283292055E0,1.540675709E0
5.253551977E0,1.177947283E0,-9.576806426E-2,1.091755986E0,1.608932086E0
5.273531769E0,4.884171486E-1,-3.160346150E-1,4.692635238E-1,7.474205267E-1
5.293529842E0,1.244984865E-1,-7.661445439E-2,-3.351882398E-1,3.656785527E-1
5.313532863E0,3.351882398E-1,1.158793569E0,-1.235408068E0,1.726669275E0
5.333534321E0,-1.733402014E0,9.385270476E-1,-9.672574997E-1,2.195700943E0
5.353605675E0,-3.466804028E0,1.216254473E0,-1.723825186E-1,3.678005008E0
5.373527915E0,-2.604891539E0,1.493981838E0,-1.101332784E0,3.198495828E0
5.393536248E0,-1.034295082E0,1.197100878E0,-4.596867263E-1,1.647461294E0
5.413533748E0,-3.926490843E-1,-4.501099288E-1,1.685518026E0,1.788223495E0
5.433542706E0,-1.436520964E-1,3.639186621E-1,1.034295082E0,1.105820525E0
5.453530988E0,3.926490843E-1,-1.915361285E-1,1.053448766E-1,4.493961893E-1
5.473525311E0,1.417367458E0,-5.554547906E-1,6.033388376E-1,1.637521997E0
5.493520675E0,1.493981838E0,-1.053448796E0,1.570596337E0,2.410084844E0
5.513530415E0,6.129156351E-1,-1.819593310E0,1.063025594E0,2.194677380E0
5.533534425E0,5.937620401E-1,-2.145204782E0,3.543418646E-1,2.253888878E0
5.553546561E0,9.768342972E-1,-1.877054095E0,8.236053586E-1,2.270652573E0
5.573523019E0,1.244984865E0,-1.446097851E0,1.522712231E0,2.441278117E0
5.593521665E0,1.474828243E0,-4.309563041E-1,-3.734954596E-1,1.581246515E0
5.613522133E0,4.022258818E-1,-3.734954596E-1,-9.097966552E-1,1.062550927E0
5.633546977E0,-5.928043365E0,-4.903325081E0,1.503558636E0,7.838685066E0
5.653530206E0,-2.059013367E0,-3.773261786E0,1.158793569E0,4.451948234E0
5.673542394E0,1.426944256E0,1.685518026E0,-3.543418646E-1,2.236671429E0
